Reference,Data.source,Region,Seamounts,Measurement,Phylum,Class,Order,Family,Taxon,Recovery.potential,time.since.TC,Type.n,n.TC,n.TA,n.NT,m.TC,m.TA,m.NT,s.TC,s.TA,s.NT,pre.S.TA,pre.S.NT,S.pooled.TA,S.pooled.NT,d.TA,d.NT,df.TA,df.NT,J.TA,J.NT,g.TA,g.NT,TA.Vd,NT.Vd,TA.Vg,NT.Vg,se.TA,se.NT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Brachiopoda,,,,Brachiopods,Medium,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Brachiopoda,,,,Brachiopods,Medium,5,number of images,330,199,90,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,527,418,0.998576175,0.998204668,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Brachiopoda,,,,Brachiopods,Medium,8,number of images,375,234,220,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,607,593,0.998763906,0.998734711,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Brachiopoda,,,,Brachiopods,Medium,10,number of images,196,222,95,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,416,289,0.998196031,0.997402597,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Brachiopoda,,,,Brachiopods,Medium,15,number of images,270,343,347,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,611,615,0.998772002,0.998779992,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baco et al. 2019,Supplementary material,Hawaii,Emperor/NWHR,ind/transect (std to mean no. images per transect),Echinodermata,Asteroidea,Brisingida,,Brisingids,Medium,30,number of transects,52,46,NA,2.70297943,99.15339433,NA,12.77456591,486.1345362,NA,110864.876,#VALUE!,332.9637758,#VALUE!,-0.289672397,#VALUE!,96,#VALUE!,0.992167102,#VALUE!,-0.287403422,#VALUE!,0.041398012,#VALUE!,0.04075202,#VALUE!,0.395667737,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Echinodermata,Asteroidea,Brisingida,,Brisingids,Medium,0,number of images,107,131,52,0,0,0.005417118,0,0,0.039063394,0,0,0,0,#DIV/0!,#DIV/0!,236,157,0.996818664,0.995215311,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Asteroidea,Brisingida,,Brisingids,Medium,0,number of images,35,32,13,0,0,0.128205128,0,0,0.462250164,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Asteroidea,Brisingida,,Brisingids,Medium,5,number of images,330,199,90,0.004476321,0,0.117070893,0.057770501,0,0.381107682,0.002083519,0.002626829,0.045645585,0.051252604,0.098066908,-2.196855615,527,418,0.998576175,0.998204668,0.097927278,-2.19291153,0.008064519,0.01988686,0.00804157,0.019815517,0.17576261,0.275904496,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Asteroidea,Brisingida,,Brisingids,Medium,8,number of images,375,234,220,0,0,0.223080987,0,0,0.703838245,0,0,0,0,#DIV/0!,#DIV/0!,607,593,0.998763906,0.998734711,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Echinodermata,Asteroidea,Brisingida,,Brisingids,Medium,10,number of images,196,222,95,0.012731388,0.00318082,0.104583916,0.063249835,0.032487402,0.260708718,0.002435952,0.003042617,0.049355362,0.055159918,0.193506189,-1.665204219,416,289,0.998196031,0.997402597,0.19315711,-1.660879013,0.009651336,0.020392798,0.009616546,0.020286999,0.192205415,0.279167578,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Asteroidea,Brisingida,,Brisingids,Medium,15,number of images,270,343,347,0,0,0.106914102,0,0,0.600907243,0,0,0,0,#DIV/0!,#DIV/0!,611,615,0.998772002,0.998779992,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Bryozoa,,,,Bryozoans,High,0,number of images,107,131,52,0.107040287,0.25480334,0.131131484,0.528568713,0.91897508,0.414111076,0.59068548,0.462962247,0.768560655,0.680413291,-0.192259455,-0.035406712,236,157,0.996818664,0.995215311,-0.191647813,-0.035237302,0.017057037,0.028580506,0.016948681,0.028307663,0.255166718,0.32976767,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Bryozoa,,,,Bryozoans,High,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Bryozoa,,,,Bryozoans,High,5,number of images,330,199,90,0.072768779,0.013135646,0.094951025,0.375069659,0.109385991,0.307287751,0.092318678,0.113272072,0.303839889,0.336559166,0.196264991,-0.065908905,527,418,0.998576175,0.998204668,0.195985544,-0.065790576,0.008091837,0.014146586,0.008068811,0.014095836,0.176060055,0.232702732,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Bryozoa,,,,Bryozoans,High,8,number of images,375,234,220,0.333832734,0.343257302,0.68307886,2.24007884,2.098166375,1.527975246,4.781632453,4.790587975,2.186694412,2.188741185,-0.004309961,-0.159564835,607,593,0.998763906,0.998734711,-0.004304633,-0.159362939,0.006940186,0.007233517,0.006923039,0.007215224,0.163081415,0.166487245,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Bryozoa,,,,Bryozoans,High,10,number of images,196,222,95,0,0,0.003855793,0,0,0.037581625,0,0,0,0,#DIV/0!,#DIV/0!,416,289,0.998196031,0.997402597,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Bryozoa,,,,Bryozoans,High,15,number of images,270,343,347,1.497060462,0.80610873,2.172547999,4.612018462,2.856428957,9.498915543,13.93169213,13.89414737,3.732518202,3.727485395,0.185116775,-0.181218024,611,615,0.998772002,0.998779992,0.184889452,-0.180996936,0.006647107,0.006612161,0.006630792,0.006596037,0.159602158,0.159183337,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Cnidaria,Anthozoa,Alcyonacea,Chrysogorgiidae,Chrysogorgia spp,Medium,0,number of images,107,131,52,0.008900757,0.033437265,0.032995408,0.064795602,0.120272833,0.108066897,0.009854067,0.007533638,0.099267655,0.08679653,-0.247175258,-0.277599252,236,157,0.996818664,0.995215311,-0.24638891,-0.276271026,0.017107734,0.028818895,0.016999057,0.028543776,0.255545643,0.331140105,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alcyonacea,Chrysogorgiidae,Chrysogorgia spp,Medium,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alcyonacea,Chrysogorgiidae,Chrysogorgia spp,Medium,5,number of images,330,199,90,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,527,418,0.998576175,0.998204668,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alcyonacea,Chrysogorgiidae,Chrysogorgia spp,Medium,8,number of images,375,234,220,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,607,593,0.998763906,0.998734711,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Cnidaria,Anthozoa,Alcyonacea,Chrysogorgiidae,Chrysogorgia spp,Medium,10,number of images,196,222,95,0.204043919,0.254775766,0.054291529,1.359859572,0.506338567,0.184110888,1.003022171,1.331131912,1.001509945,1.153746901,-0.050655361,0.129796569,416,289,0.998196031,0.997402597,-0.05056398,0.129459435,0.009609615,0.015657304,0.009574975,0.015576073,0.191789531,0.244616108,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alcyonacea,Chrysogorgiidae,Chrysogorgia spp,Medium,15,number of images,270,343,347,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,611,615,0.998772002,0.998779992,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Cnidaria,Anthozoa,Alcyonacea,Chrysogorgiidae,Chrysogorgiidae genA spA,Medium,0,number of images,107,131,52,0.880828463,0.402150306,0.009157509,2.300112415,2.749340329,0.066035738,6.540034773,6.027371332,2.557349169,2.455070535,0.187177474,0.355049251,236,157,0.996818664,0.995215311,0.186581999,0.353350451,0.017052986,0.028972979,0.016944656,0.028696389,0.255136415,0.332024165,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Cnidaria,Anthozoa,Alcyonacea,Chrysogorgiidae,Chrysogorgiidae genA spA,Medium,10,number of images,196,222,95,0.813371786,2.283897995,0.334116464,2.718634386,5.823857799,1.144592593,21.48309463,16.01891962,4.634985937,4.002364253,-0.317266596,0.119743055,416,289,0.998196031,0.997402597,-0.316694257,0.119432034,0.00972695,0.015652993,0.009691887,0.015571784,0.19295687,0.244582434,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alcyonacea,Corallidae,Corallium spp,Low,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alcyonacea,Corallidae,Corallium spp,Low,5,number of images,330,199,90,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,527,418,0.998576175,0.998204668,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alcyonacea,Corallidae,Corallium spp,Low,8,number of images,375,234,220,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,607,593,0.998763906,0.998734711,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alcyonacea,Corallidae,Corallium spp,Low,15,number of images,270,343,347,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,611,615,0.998772002,0.998779992,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Arthropoda,Malacostraca,Decapoda,,Crabs,High,0,number of images,107,131,52,0.090554903,0.046764266,0.005417118,0.281555397,0.179973535,0.039063394,0.053448078,0.064043942,0.231188403,0.253069046,0.18941537,0.336421169,236,157,0.996818664,0.995215311,0.188812776,0.334811499,0.017054757,0.028932473,0.016946415,0.02865627,0.25514966,0.331791991,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Malacostraca,Decapoda,,Crabs,High,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Malacostraca,Decapoda,,Crabs,High,5,number of images,330,199,90,0.001893939,0,0.029239766,0.034405118,0,0.312195271,0.000738978,0.000931678,0.027184146,0.030523396,0.069670734,-0.895897246,527,418,0.998576175,0.998204668,0.069571535,-0.894288813,0.008060017,0.015096928,0.008037081,0.015042769,0.175713544,0.240391974,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Malacostraca,Decapoda,,Crabs,High,8,number of images,375,234,220,0.018018474,0,0.0129662,0.179396435,0,0.149504613,0.019829444,0.020297592,0.140817057,0.142469619,0.127956614,0.035462111,607,593,0.998763906,0.998734711,0.127798448,0.035417241,0.006953613,0.007213178,0.006936433,0.007194936,0.163239096,0.166253019,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Arthropoda,Malacostraca,Decapoda,,Crabs,High,10,number of images,196,222,95,0.054541697,0.039602283,0.037292856,0.24548742,0.195249252,0.124207256,0.048501241,0.053062241,0.220229972,0.230352429,0.067835518,0.074880225,416,289,0.998196031,0.997402597,0.067713145,0.074685731,0.00961205,0.015637991,0.009577401,0.01555686,0.191813829,0.244465198,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Malacostraca,Decapoda,,Crabs,High,15,number of images,270,343,347,0.015351053,0,0.031149464,0.17811775,0,0.238358125,0.013967718,0.013876871,0.118185102,0.117800133,0.129889915,-0.134111997,611,615,0.998772002,0.998779992,0.12973041,-0.133948379,0.006632917,0.006600123,0.006616637,0.006584029,0.159431712,0.159038377,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Echinodermata,Crinoidea,,,Crinoid (stalked),Medium,0,number of images,107,131,52,0,0,0.010834236,0,0,0.054699693,0,0,0,0,#DIV/0!,#DIV/0!,236,157,0.996818664,0.995215311,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Crinoidea,,,Crinoid (stalked),Medium,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Crinoidea,,,Crinoid (stalked),Medium,5,number of images,330,199,90,0.006734007,0,0,0.122329307,0,0,0.009342139,0.011778247,0.09665474,0.108527631,0.069670734,0.062048776,527,418,0.998576175,0.998204668,0.069571535,0.061937378,0.008060017,0.014145998,0.008037081,0.01409525,0.175713544,0.232697896,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Crinoidea,,,Crinoid (stalked),Medium,8,number of images,375,234,220,0.032469969,0,0.090136993,0.370255231,0,0.392464183,0.084466659,0.086460813,0.290631483,0.294042196,0.111722133,-0.196118194,607,593,0.998763906,0.998734711,0.111584034,-0.195870047,0.006950419,0.007244443,0.006933247,0.007226121,0.163201594,0.16661293,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Echinodermata,Crinoidea,,,Crinoid (stalked),Medium,10,number of images,196,222,95,0.002059746,0.006219914,0.022427191,0.021244252,0.047512421,0.11160332,0.001410815,0.001038773,0.03756082,0.032230007,-0.110758186,-0.631940463,416,289,0.998196031,0.997402597,-0.110558381,-0.630299059,0.009621219,0.016314523,0.009586538,0.016229882,0.191905298,0.249697247,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Crinoidea,,,Crinoid (stalked),Medium,15,number of images,270,343,347,0.010582011,0,0.005717945,0.173880177,0,0.106513517,0.013311016,0.013224441,0.115373378,0.114997568,0.091719691,0.042297115,611,615,0.998772002,0.998779992,0.091607059,0.042245512,0.006626017,0.006586998,0.006609754,0.006570935,0.15934877,0.158880159,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baco et al. 2019,Supplementary material,Hawaii,Emperor/NWHR,ind/transect (std to mean no. images per transect),Echinodermata,Crinoidea,,,Crinoid (stalked),Medium,30,number of transects,52,46,NA,0.280907111,0.031815962,NA,0.81520173,0.150919559,NA,0.363720823,#VALUE!,0.603092715,#VALUE!,0.413022978,#VALUE!,96,#VALUE!,0.992167102,#VALUE!,0.409787811,#VALUE!,0.041840247,#VALUE!,0.041187353,#VALUE!,0.397775483,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Echinodermata,Crinoidea,Comatulida,,Crinoid (unstalked),High,0,number of images,107,131,52,0.043634126,0.021782604,0.109221999,0.147544517,0.080924287,0.207563384,0.013385131,0.016825099,0.115694129,0.129711599,0.188873211,-0.505643857,236,157,0.996818664,0.995215311,0.188272342,-0.503224508,0.017054326,0.029380575,0.016945987,0.029100094,0.255146437,0.334351494,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Crinoidea,Comatulida,,Crinoid (unstalked),High,0,number of images,35,32,13,18.57687075,9.068266369,24.49358974,33.64074203,24.8379192,30.12659846,886.1903534,997.4097955,29.76894948,31.58179532,0.319413501,-0.187345872,65,46,0.988416988,0.983606557,0.315713731,-0.184274629,0.060582809,0.105860115,0.059187474,0.102417741,0.47683813,0.627254328,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Crinoidea,Comatulida,,Crinoid (unstalked),High,5,number of images,330,199,90,13.36387415,3.242787824,21.84885383,23.87634028,16.59631529,37.61693223,459.3792366,507.3448574,21.43313408,22.52431702,0.472216816,-0.376703084,527,418,0.998576175,0.998204668,0.471544461,-0.376026776,0.008266193,0.014310349,0.008242671,0.014259011,0.177946743,0.234045761,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Crinoidea,Comatulida,,Crinoid (unstalked),High,8,number of images,375,234,220,16.21991211,2.96553451,34.81641536,34.50810429,15.00026072,52.45734722,820.0815262,834.1304838,28.6370656,28.88131721,0.462839936,-0.643893875,607,593,0.998763906,0.998734711,0.462267822,-0.643079163,0.00711605,0.007560524,0.007098469,0.007541404,0.165134725,0.17020886,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Echinodermata,Crinoidea,Comatulida,,Crinoid (unstalked),High,10,number of images,196,222,95,0.043986518,0.038857973,0.268182416,0.122015855,0.124631422,0.491193693,0.01523059,0.015097701,0.123412277,0.122872703,0.041556196,-1.824619242,416,289,0.998196031,0.997402597,0.04148123,-1.819879972,0.009608611,0.021348692,0.009573975,0.021237934,0.191779515,0.285635515,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Crinoidea,Comatulida,,Crinoid (unstalked),High,15,number of images,270,343,347,20.92713384,6.814227783,38.64633549,44.64675731,24.15584947,53.32897764,1204.198514,1200.161484,34.70156357,34.64334689,0.406693665,-0.511474879,611,615,0.998772002,0.998779992,0.406194245,-0.510850875,0.006754066,0.006797547,0.006737488,0.006780971,0.160881116,0.161399436,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baco et al. 2019,Supplementary material,Hawaii,Emperor/NWHR,ind/transect (std to mean no. images per transect),Echinodermata,Crinoidea,Comatulida,,Crinoid (unstalked),High,30,number of transects,52,46,NA,417.6075214,10.59468571,NA,909.3229796,23.79887532,NA,439539.268,#VALUE!,662.9775773,#VALUE!,0.613916442,#VALUE!,96,#VALUE!,0.992167102,#VALUE!,0.609107698,#VALUE!,0.042892825,#VALUE!,0.042223507,#VALUE!,0.40274784,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Echinodermata,Echinoidea,,,Dermechinus horridus,Medium,0,number of images,107,131,52,0,0.003635042,0.09699221,0,0.041604955,0.389907612,0.000953502,0.00056229,0.030878823,0.023712662,-0.117719573,-4.090312922,236,157,0.996818664,0.995215311,-0.117345067,-4.070742047,0.017008495,0.081188701,0.016900448,0.080413635,0.254803378,0.55580304,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Echinodermata,Echinoidea,,,Dermechinus horridus,Medium,10,number of images,196,222,95,0.002678237,0.183442514,0.375325023,0.037495313,1.607298283,1.057716218,1.373094392,0.841226576,1.171791104,0.917184047,-0.154263227,-0.406294448,416,289,0.998196031,0.997402597,-0.153984941,-0.405239138,0.009635011,0.015911991,0.00960028,0.015829439,0.192042793,0.24659759,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Echinodermata,Echinoidea,,,Echinoids,Medium,0,number of images,107,131,52,0.022251891,0.016192831,0.056621782,0.100976653,0.090742923,0.199646827,0.009115518,0.009558945,0.095475223,0.097769856,0.06346212,-0.351538724,236,157,0.996818664,0.995215311,0.063260226,-0.34985672,0.016987843,0.028965178,0.016879927,0.028688663,0.254648636,0.331979467,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Echinoidea,,,Echinoids,Medium,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Echinoidea,,,Echinoids,Medium,5,number of images,330,199,90,0.006383274,0.015478263,0.031468873,0.087975894,0.133816698,0.169884696,0.011559674,0.009904534,0.107515925,0.099521525,-0.084592015,-0.252062043,527,418,0.998576175,0.998204668,-0.08447157,-0.251609507,0.008062192,0.014217051,0.00803925,0.014166049,0.175737257,0.233281572,,,,,,,,,,,,,,,,,,,,,,,,,,,
